AQCR codes/names/state name comes from: https://aqs.epa.gov/aqsweb/documents/codetables/aqcrs.html,,,,,,,,,
,,,,,,,,,
aqcr,aqcr_name,state,counties,towns,other,cfr_section,history,year_start,year_end
204,GEORGETOWN,South Carolina,,,,,,,
86,METROPOLITAN SIOUX CITY,South Dakota,,,,,,,
87,METROPOLITAN SIOUX FALLS,South Dakota,,,,,,,
205,BLACKHILLS-RAPID CITY,South Dakota,,,,,,,
206,SOUTH DAKOTA,South Dakota,,,,,,,
7,TENNESSEE RIVER VALLEY-CUMBERLAND MOUNTAINS,Tennessee,"Bledsoe County, Coffee County, Cumberland County, Fentress County, Franklin County, Grundy County, Marion County, Morgan County, Overton County, Pickett County, Putnam County, Scott County, Sequatchie County, Warren County, White County, Van Buren County",,,40 CFR 81.72,11/25/1971,1971,
18,METROPOLITAN MEMPHIS,Tennessee,,,,,,,
55,CHATTANOOGA,Tennessee,,,,,,,
207,EASTERN TENNESSEE-SOUTHWESTERN VIRGINIA,Tennessee,,,,,,,
208,MIDDLE TENNESSEE,Tennessee,,,,,,,
209,WESTERN TENNESSEE,Tennessee,,,,,,,
22,SHREVEPORT-TEXARKANA-TYLER,Texas,"Anderson County, Bowie County, Camp County, Cass County, Cherokee County, Delta County, Franklin County, Gregg County, Harrison County, Henderson County, Hopkins County, Lamar County, Marion County, Morris County, Panola County, Rains County, Red River County, Rusk County, Smith County, Titus County, Upshur County, Van Zandt County, Wood County",,,40 CFR 81.94,"Amended in 2002, but only for Louisiana - remainder dates back to 1971",1971,
106,SOUTHERN LOUISIANA-SOUTHEAST TEXAS,Texas,"Angelina County, Hardin County, Houston County, Jasper County, Jefferson County, Nacogdoches County, Newton County, Orange County, Polk County, Sabine County, San Augustine County, San Jacinto County, Shelby County, Trinity County, Tyler County",,,40 CFR 81.53,"I checked the Fed. Reg. listed in amendment history, and they apply only to Walker County",1971,
106,SOUTHERN LOUISIANA-SOUTHEAST TEXAS,Texas,Walker County,,,56 FR 37288; 62 FR 30270,moved from Metropolitan Houston to Southern Louisiana in 1991 and back to Metropolitan Houston in 1997,1991,1997
216,METROPOLITAN HOUSTON-GALVESTON,Texas,Walker County,,,56 FR 37288; 62 FR 30270,moved from Metropolitan Houston to Southern Louisiana in 1991 and back to Metropolitan Houston in 1997,1971,1991
216,METROPOLITAN HOUSTON-GALVESTON,Texas,Walker County,,,56 FR 37288; 62 FR 30270,moved from Metropolitan Houston to Southern Louisiana in 1991 and back to Metropolitan Houston in 1997,1997,present
153,EL PASO-LAS CRUCES-ALAMOGORDO,Texas,"Brewster County, Culberson County, El Paso County, Hudspeth County, Jeff Davis County, Presidio County",,,40 CFR 81.82,11/25/1971,1971,present
218,MIDLAND-ODESSA-SAN ANGELO,Texas,"Coke County, Concho County, Menard County, McColloch County",,,62 FR 30270,"move from Midland-Odessa to Abilene-Wichita approved by EPA in 1991, moved back to Midland-Odessa in 1997 ",1997,present
210,ABILENE-WICHITA FALLS,Texas,"Coke County, Concho County, Menard County, McColloch County",,,62 FR 30270; 56 FR 37288,"move from Midland-Odessa to Abilene-Wichita approved by EPA in 1991, moved back to Midland-Odessa in 1997 ",1991,1997
218,MIDLAND-ODESSA-SAN ANGELO,Texas,"Coke County, Concho County, Menard County, McColloch County",,,62 FR 30270; 56 FR 37288,"move from Midland-Odessa to Abilene-Wichita approved by EPA in 1991, moved back to Midland-Odessa in 1997 ",1971,1991
211,AMARILLO-LUBBOCK,Texas,"Armstrong County, Bailey County, Briscoe County, Carson County, Castro County, Cochran County, Collingsworth County, Crosby County, Dallam County, Deaf Smith County, Dickens County, Donley County, Floyd County, Garza County, Gray County, Hale County, Hall County, Hansford County, Hartley County, Hemphill County, Hockley County, Hutchinson County, King County, Lamb County, Lipscomb County, Lubbock County, Lynn County, Moore County, Motley County, Ochiltree County, Oldham County, Parmer County, Potter County, Randall County, Roberts County, Sherman County, Swisher County, Terry County, Wheeler County, Yoakum County",,,40 CFR 81.133,Childress county is listed separately as it was added to this AQCR only in 1997,1971,present
210,ABILENE-WICHITA FALLS,Texas,Childress County,,,62 FR 30270; 40 CFR 81.133,moved from Abilene to Amarillo in 1997,1971,1997
211,AMARILLO-LUBBOCK,Texas,Childress County,,,62 FR 30270; 40 CFR 81.133,moved from Abilene to Amarillo in 1997,1997,present
212,AUSTIN-WACO,Texas,"Bastrop County, Bell County, Blanco County, Bosque County, Brazos County, Burleson County, Burnet County, Caldwell County, Coryell County, Falls County, Fayette County, Freestone County, Grimes County, Hamilton County, Hays County, Hill County, Lampasas County, Lee County, Leon County, Limestone County, Llano County, Madison County, McLennan County, Milam County, Mills County, Robertson County, Travis County, Washington County, Williamson County",,,40 CFR 81.134; 56 FR 37288; 62 FR 30270,"removed San Saba county b/c it was only added in 1991. Other amendment only refers to a mislisting of Mills County, in error (Mills County has always been part of this AQCR)",1971,present
218,MIDLAND-ODESSA-SAN ANGELO,Texas,San Saba County,,,56 FR 37288,moved from Midland-Odessa to Austin-Waco,1971,1991
212,AUSTIN-WACO,Texas,San Saba County,,,56 FR 37288,moved from Midland-Odessa to Austin-Waco,1991,present
213,BROWNSVILLE-LAREDO,Texas,"Cameron County, Hidalgo County, Jim Hogg County, Starr County, Webb County, Willacy County, Zapata County",,,40 CFR 81.135,no amendments,1971,present
214,CORPUS CHRISTI-VICTORIA,Texas,"Aransas County, Bee County, Brooks County, Calhoun County, De Witt County, Duval County, Goliad County,  Jackson County, Jim Wells County, Kenedy County, Kleberg County, Lavaca County, Live Oak County, McMullen County, Nueces County, Refugio County, San Patricio County, Victoria County",,,40 CFR 81.136,"Gonzales County was moved into this AQCR in 1997, otherwise, no amendments. (Gonzales is separately listed for ease in merging)",1971,present
217,METROPOLITAN SAN ANTONIO,Texas,Gonzales County,,,62 FR 30270,moved from San Antonio AQCR to Corpus Christi in 1997,1971,1997
214,CORPUS CHRISTI-VICTORIA,Texas,Gonzales County,,,40 CFR 81.136; 62 Fed. Reg. 30270,moved from San Antonio AQCR to Corpus Christi in 1997,1997,present
215,METROPOLITAN DALLAS-FORT WORTH,Texas,"Collin County, Cooke County, Dallas County, Denton County, Ellis County, Erath County, Fannin County, Grayson County, Hood County, Hunt County, Johnson County, Kaufman County, Navarro County, Palo Pinto County, Parker County, Rockwall County, Somervell County, Tarrant County, Wise County",,,40 CFR 81.39,no amendments,1971,present
216,METROPOLITAN HOUSTON-GALVESTON,Texas,"Austin County, Brazoria County, Chambers County, Colorado County, Fort Bend County, Galveston County, Harris County, Liberty County, Matagorda County, Montgomery County, Waller County, Wharton County",,,40 CFR 81.38,only amendments pertain to Walker County which was moved from Houston-Galveston to Southern Louisiana in 1991 (and then returned to this AQCR) - Walker County is listed separately,1971,present
217,METROPOLITAN SAN ANTONIO,Texas,"Atascosa County, Bandera County, Bexar County, Comal County, Dimmit County, Edwards County, Frio County, Gillespie County, Guadalupe County, Karnes County, Kendall County, Kerr County, Kinney County, La Salle County, Maverick County, Medina County, Real County, Uvalde County, Val Verde County, Wilson County, Zavala County",,,40 CFR 81.40,"In 1997, Kimble and Mason Counties were removed from San Antonio AQCR and Gonzalas as moved to the Corpus Christi AQCR - these counties are listed separately. No other amendments.",1971,present
217,METROPOLITAN SAN ANTONIO,Texas,"Kimble County, Mason County",,,40 CFR 81.40; 62 Fed. Reg. 30271,"In 1997, Kimble and Mason Counties were removed from San Antonio AQCR and Gonzalas as moved to the Corpus Christi AQCR - these counties are listed separately. No other amendments.",1971,1997
218,MIDLAND-ODESSA-SAN ANGELO,Texas,"Kimble County, Mason County",,,62 Fed. Reg. 30271,"In 1997, Kimble and Mason Counties were moved from San Antonio AQCR to Midland-Odessa",1997,present
218,MIDLAND-ODESSA-SAN ANGELO,Texas,"Andrews County, Borden County, Crane County, Crockett County, Dawson County, Ector County, Gaines County, Glasscock County, Howard County, Irion County, Loving County, Martin County, Midland County, Pecos County, Reagan County, Reeves County, Schleicher County, Sterling County, Sutton County, Terrell County, Tom Green County, Upton County, Ward County, Winkler County",,,40 CFR 81.137; 56 FR 37289; 62 FR 30270,"the following four counties were removed and then added back: Coke, Concho, Menard, McCulloch. They are listed separately for ease of merging. In addition, Kimble County and Mason County were added in 1997 - they are listed separately.",1971,present
14,FOUR CORNERS,Utah,,,,,,,
219,UTAH,Utah,,,,,,,
220,WASATCH FRONT,Utah,,,,,,,
159,CHAMPLAIN VALLEY,Vermont,,,,,,,
221,VERMONT,Vermont,,,,,,,
247,U.S. VIRGIN ISLANDS,Virgin Islands,,,,,,,
47,NATIONAL CAPITAL,Virginia,Arlington County; Fairfax County; Loudoun County; Prince William County,"Alexandria, Fairfax, Falls Church",,40 CFR 81.12,no amendments,1971,present
207,EASTERN TENNESSEE-SOUTHWESTERN VIRGINIA,Virginia,"Bland County, Bristol City, Buchanan County, Carroll County, Dickenson County, Galax City, Grayson County, Lee County, Norton City, Russell County, Scott County, Smyth County, Tazewell County, Washington County, Wise County, Wythe County",,,40 CFR 81.57,no amendments,1971,present
222,CENTRAL VIRGINIA,Virginia,"Amelia, Amherst, Appomattox, Bedford, Brunswick, Buckingham, Campbell, Charlotte, Cumberland, Franklin, Halifax, Henry, Lunenburg, Mecklenburg, Nottoway, Patrick, Pittsylvania, Prince Edward","Bedford, Danville, Lynchburg, Martinsville, South Boston, Blackstone, Farmville, Rocky Mount, South Hill",,40 CFR 81.143,no amendments,1971,present
223,HAMPTON ROADS,Virginia,"Isle of Wight, James City, Nansemond, Southampton, York","Chesapeake, Franklin, Hampton, Newport News, Norfolk, Portsmouth, Suffolk, Virginia Beach, Williamsburg",,40 CFR 81.93,no amendments,1971,present
224,NORTHEASTERN VIRGINIA,Virginia,"Accomack, Albermarle, Caroline, Culpeper, Essex, Fauquier, Fluvanna, Gloucester, Greene, King and Queen, King George, King William, Lancaster, Louisa, Madison, Mathews, Middlesex, Nelson, Northampton, Northumberland, Orange, Rappahannock, Richmond, Spotsylvania, Stafford, Westmoreland","Charlottesville, Fredericksburg, Culpeper, Warrenton",,40 CFR 81.144,no amendments,1971,present
225,STATE CAPITAL,Virginia,"Charles City, Chesterfield, Dinwiddie, Goochland, Greensville, Hanover, Henrico, New Kent, Powhatan, Prince George, Surry, Sussex","Colonial Heights, Emporia, Hopewell, Petersburg, Richmond",,40 CFR 81.145,no amendments,1971,present
226,VALLEY OF VIRGINIA,Virginia,"Alleghany, Augusta, Bath, Botetourt, Clarke, Craig, Floyd, Frederick, Giles, Highland, Montgomery, Page, Pulaski, Roanoke, Rockbridge, Rockingham, Shenandoah, Warren","Buena Vista, Clifton Forge, Covington, Harrisonburg, Lexington, Radford, Roanoke, Salem, Staunton, Waynesboro, Winchester, Blacksburg, Christiansburg, Front Royal, Luray, Pulaski, Vinton",,40 CFR 81.146,no amendments,1971,present
62,EASTERN WASHINGTON-NORTHERN IDAHO,Washington,,,,,,,
193,PORTLAND,Washington,,,,,,,
227,NORTHERN WASHINGTON,Washington,,,,,,,
228,OLYMPIA-NORTHWEST WASHINGTON,Washington,,,,,,,
229,PUGET SOUND,Washington,,,,,,,
230,SOUTH CENTRAL WASHINGTON,Washington,,,,,,,
103,HUNTINGTON-ASHLAND-PORTSMOUTH-IRONTON,West Virginia,,,,,,,
113,CUMBERLAND-KEYSER,West Virginia,,,,,,,
179,PARKERSBURG-MARIETTA,West Virginia,,,,,,,
181,STEUBENVILLE-WEIRTON-WHEELING,West Virginia,,,,,,,
231,ALLEGHENY,West Virginia,,,,,,,
232,CENTRAL WEST VIRGINIA,West Virginia,,,,,,,
233,EASTERN PANHANDLE,West Virginia,,,,,,,
234,KANAWHA VALLEY,West Virginia,,,,,,,
235,NORTH CENTRAL WEST VIRGINIA,West Virginia,,,,,,,
236,SOUTHERN WEST VIRGINIA,West Virginia,,,,,,,
68,METROPOLITAN DUBUQUE,Wisconsin,,,,,,,
73,ROCKFORD-JANESVILLE-BELOIT,Wisconsin,,,,,,,
128,SOUTHEAST MINNESOTA-LA CROSSE,Wisconsin,,,,,,,
129,DULUTH-SUPERIOR,Wisconsin,,,,,,,
237,LAKE MICHIGAN,Wisconsin,,,,,,,
238,NORTH CENTRAL WISCONSIN,Wisconsin,,,,,,,
239,SOUTHEASTERN WISCONSIN,Wisconsin,,,,,,,
240,SOUTHERN WISCONSIN,Wisconsin,,,,,,,
241,CASPER,Wyoming,,,,,,,
242,METROPOLITAN CHEYENNE,Wyoming,,,,,,,
243,WYOMING,Wyoming,,,,,,,
